Variable     ,      Value      ,  Reduced Cost
X11     ,   1526.667       ,     0.000000
X21     ,   1017.778     ,       0.000000
X31    ,    0.000000     ,     0.000000
X12    ,    473.3333     ,       0.000000
X22    ,    1482.222     ,       0.000000
X32    ,    1200.000     ,       0.000000
X13    ,    0.000000     ,      1.000000
X23   ,     0.000000      ,      0.000000
X33     ,   0.000000     ,      0.7000000
Y1     ,   2544.444       ,     0.000000
Y2   ,     3155.556      ,      0.000000
Y3    ,    0.000000     ,       0.000000

Variable    ,       Value     ,   Reduced Cost
X11     ,   1526.667     ,       0.000000
X21     ,   1017.778     ,       0.000000
X31     ,   0.000000      ,      0.000000
X12    ,    473.3333      ,      0.000000
X22   ,     1482.222       ,     0.000000
X32  ,      1200.000      ,      0.000000
X13    ,    0.000000     ,       1.000000
X23   ,     0.000000     ,       0.000000
X33    ,    0.000000    ,       0.7000000
Y1    ,    2544.444     ,       0.000000
Y2    ,    3155.556     ,       0.000000
Y3    ,    0.000000  ,          0.000000

Variable      ,     Value      ,  Reduced Cost
X11    ,    1526.667     ,       0.000000
X21   ,     1017.778    ,        0.000000
X31    ,    0.000000     ,       0.000000
X12   ,     473.3333      ,      0.000000
X22   ,     1482.222     ,       0.000000
X32   ,     1200.000      ,      0.000000
X13   ,     0.000000     ,       1.000000
X23   ,     0.000000     ,       0.000000
X33   ,     0.000000     ,      0.7000000
Y1    ,    2544.444      ,      0.000000
Y2    ,    3155.556      ,      0.000000
Y3    ,    0.000000     ,       0.000000

Variable      ,     Value      ,  Reduced Cost
X11    ,    2000.000      ,      0.000000
X21     ,   666.6667      ,      0.000000
X31      ,  666.6667      ,      0.000000
X12     ,   0.000000      ,      0.000000
X22    ,    0.000000      ,     0.1470588E-01
X32    ,    0.000000      ,     0.1470588E-01
X13     ,   0.000000      ,      3.416667
X23     ,   1833.333      ,      0.000000
X33     ,   533.3333      ,      0.000000
Y1      ,  3333.333       ,     0.000000
Y2      ,  0.000000       ,     0.000000
Y3      ,  2366.667       ,     0.000000

